,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
23,Albany,Albany City PD,2013,12.0,4881.0,796.0,8.0,32.0,228.0,528.0,4085.0,702.0,3243.0,140.0,Non-New York City
78,Albany,Albany County Park PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
111,Albany,Albany County Sheriff,2013,12.0,147.0,5.0,0.0,0.0,0.0,5.0,142.0,38.0,99.0,5.0,Non-New York City
141,Albany,Albany County State Police,2013,12.0,186.0,8.0,0.0,3.0,0.0,5.0,178.0,17.0,159.0,2.0,Non-New York City
171,Albany,Altamont Vg PD,2013,12.0,18.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,17.0,0.0,Non-New York City
201,Albany,Bethlehem Town PD,2013,12.0,456.0,13.0,0.0,0.0,3.0,10.0,443.0,50.0,388.0,5.0,Non-New York City
231,Albany,Coeymans Town PD,2013,12.0,125.0,39.0,0.0,2.0,0.0,37.0,86.0,13.0,69.0,4.0,Non-New York City
261,Albany,Cohoes City PD,2013,12.0,270.0,27.0,0.0,1.0,12.0,14.0,243.0,65.0,163.0,15.0,Non-New York City
291,Albany,Colonie Town PD,2013,12.0,2053.0,63.0,0.0,0.0,31.0,32.0,1990.0,186.0,1753.0,51.0,Non-New York City
321,Albany,County Total,2013,,9457.0,1006.0,9.0,47.0,293.0,657.0,8451.0,1203.0,6998.0,250.0,Non-New York City
351,Albany,Green Island Vg PD,2013,12.0,51.0,4.0,0.0,1.0,1.0,2.0,47.0,9.0,33.0,5.0,Non-New York City
381,Albany,Guilderland Town PD,2013,12.0,686.0,12.0,0.0,3.0,5.0,4.0,674.0,48.0,625.0,1.0,Non-New York City
411,Albany,Menands Vg PD,2013,12.0,108.0,6.0,0.0,1.0,1.0,4.0,102.0,13.0,88.0,1.0,Non-New York City
467,Albany,SUNY Police - Albany,2013,12.0,203.0,5.0,0.0,1.0,1.0,3.0,198.0,4.0,194.0,0.0,Non-New York City
499,Albany,Watervliet City PD,2013,12.0,271.0,27.0,1.0,3.0,11.0,12.0,244.0,58.0,165.0,21.0,Non-New York City
529,Allegany,Alfred Vg PD,2013,12.0,51.0,5.0,0.0,0.0,3.0,2.0,46.0,10.0,36.0,0.0,Non-New York City
558,Allegany,Allegany County Sheriff,2013,12.0,10.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,Non-New York City
587,Allegany,Allegany County State Police,2013,12.0,365.0,21.0,0.0,6.0,0.0,15.0,344.0,124.0,211.0,9.0,Non-New York City
611,Allegany,Andover Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
637,Allegany,Angelica Vg PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,Non-New York City
663,Allegany,Belmont Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
688,Allegany,Bolivar Vg PD,2013,12.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,Non-New York City
715,Allegany,County Total,2013,,796.0,54.0,0.0,9.0,4.0,41.0,742.0,194.0,534.0,14.0,Non-New York City
745,Allegany,Cuba Town PD,2013,12.0,86.0,5.0,0.0,1.0,0.0,4.0,81.0,7.0,72.0,2.0,Non-New York City
767,Allegany,Friendship Town PD,2013,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,10.0,0.0,Non-New York City
786,Allegany,Independence Town PD,2013,12.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,6.0,0.0,Non-New York City
824,Allegany,SUNY Police - Alfred,2013,12.0,73.0,3.0,0.0,1.0,1.0,1.0,70.0,6.0,64.0,0.0,Non-New York City
854,Allegany,Wellsville Vg PD,2013,12.0,175.0,11.0,0.0,1.0,0.0,10.0,164.0,32.0,129.0,3.0,Non-New York City
884,Bronx,County Total,2013,12.0,36280.0,13020.0,83.0,189.0,4456.0,8292.0,23260.0,2795.0,19016.0,1449.0,New York City
914,Broome,Binghamton City PD,2013,12.0,2638.0,286.0,4.0,19.0,101.0,162.0,2352.0,525.0,1771.0,56.0,Non-New York City
958,Broome,Broome County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
986,Broome,Broome County Sheriff,2013,12.0,924.0,49.0,3.0,8.0,8.0,30.0,875.0,182.0,669.0,24.0,Non-New York City
1016,Broome,Broome County State Police,2013,12.0,665.0,42.0,0.0,11.0,3.0,28.0,623.0,156.0,448.0,19.0,Non-New York City
1046,Broome,County Total,2013,,6706.0,512.0,8.0,51.0,153.0,300.0,6194.0,1162.0,4903.0,129.0,Non-New York City
1076,Broome,Deposit Vg PD,2013,12.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,8.0,0.0,Non-New York City
1106,Broome,Endicott Vg PD,2013,12.0,649.0,46.0,0.0,4.0,13.0,29.0,603.0,137.0,455.0,11.0,Non-New York City
1136,Broome,Johnson City Vg PD,2013,12.0,1019.0,69.0,1.0,6.0,20.0,42.0,950.0,111.0,829.0,10.0,Non-New York City
1166,Broome,Port Dickinson Vg PD,2013,12.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,Non-New York City
1204,Broome,SUNY Police - Binghamton,2013,12.0,177.0,4.0,0.0,1.0,2.0,1.0,173.0,6.0,167.0,0.0,Non-New York City
1234,Broome,Vestal Town PD,2013,12.0,588.0,16.0,0.0,2.0,6.0,8.0,572.0,39.0,524.0,9.0,Non-New York City
1265,Cattaraugus,Allegany Vg PD,2013,12.0,13.0,3.0,0.0,0.0,0.0,3.0,10.0,0.0,10.0,0.0,Non-New York City
1306,Cattaraugus,Cattaraugus County Park PD,2013,12.0,13.0,1.0,0.0,0.0,0.0,1.0,12.0,2.0,10.0,0.0,Non-New York City
1336,Cattaraugus,Cattaraugus County Sheriff,2013,12.0,524.0,37.0,0.0,6.0,0.0,31.0,487.0,132.0,324.0,31.0,Non-New York City
1366,Cattaraugus,Cattaraugus County State Police,2013,12.0,360.0,15.0,0.0,1.0,3.0,11.0,345.0,58.0,277.0,10.0,Non-New York City
1394,Cattaraugus,Cattaraugus Vg PD,2013,12.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,Non-New York City
1422,Cattaraugus,County Total,2013,,1771.0,115.0,0.0,13.0,11.0,91.0,1656.0,309.0,1285.0,62.0,Non-New York City
1451,Cattaraugus,Ellicottville Town PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,Non-New York City
1478,Cattaraugus,Franklinville Vg PD,2013,12.0,33.0,1.0,0.0,0.0,1.0,0.0,32.0,0.0,32.0,0.0,Non-New York City
1508,Cattaraugus,Olean City PD,2013,12.0,633.0,40.0,0.0,5.0,5.0,30.0,593.0,76.0,508.0,9.0,Non-New York City
1536,Cattaraugus,Portville Vg PD,2013,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,Non-New York City
1562,Cattaraugus,Salamanca City PD,2013,12.0,173.0,18.0,0.0,1.0,2.0,15.0,155.0,38.0,105.0,12.0,Non-New York City
1592,Cayuga,Auburn City PD,2013,12.0,958.0,97.0,1.0,21.0,22.0,53.0,861.0,131.0,723.0,7.0,Non-New York City
1631,Cayuga,Cayuga County Park PD,2013,12.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,Non-New York City
1661,Cayuga,Cayuga County Sheriff,2013,12.0,262.0,14.0,1.0,1.0,0.0,12.0,248.0,62.0,185.0,1.0,Non-New York City
1691,Cayuga,Cayuga County State Police,2013,12.0,245.0,14.0,0.0,4.0,1.0,9.0,231.0,71.0,157.0,3.0,Non-New York City
1721,Cayuga,County Total,2013,,1517.0,128.0,2.0,26.0,23.0,77.0,1389.0,269.0,1109.0,11.0,Non-New York City
1751,Cayuga,Moravia Vg PD,2013,12.0,18.0,3.0,0.0,0.0,0.0,3.0,15.0,0.0,15.0,0.0,Non-New York City
1805,Cayuga,Weedsport Vg PD,2013,12.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,20.0,0.0,Non-New York City
1835,Chautauqua,Carroll Town PD,2013,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,Non-New York City
1869,Chautauqua,Chautauqua County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
1897,Chautauqua,Chautauqua County Sheriff,2013,12.0,764.0,24.0,2.0,4.0,6.0,12.0,740.0,241.0,496.0,3.0,Non-New York City
1927,Chautauqua,Chautauqua County State Police,2013,12.0,306.0,18.0,0.0,3.0,1.0,14.0,288.0,66.0,211.0,11.0,Non-New York City
1957,Chautauqua,County Total,2013,,3637.0,274.0,2.0,30.0,65.0,177.0,3363.0,776.0,2540.0,47.0,Non-New York City
1987,Chautauqua,Dunkirk City PD,2013,12.0,349.0,40.0,0.0,0.0,12.0,28.0,309.0,78.0,230.0,1.0,Non-New York City
2017,Chautauqua,Ellicott Town PD,2013,12.0,296.0,8.0,0.0,2.0,1.0,5.0,288.0,53.0,235.0,0.0,Non-New York City
2047,Chautauqua,Fredonia Vg PD,2013,12.0,218.0,10.0,0.0,2.0,5.0,3.0,208.0,26.0,182.0,0.0,Non-New York City
2077,Chautauqua,Jamestown City PD,2013,12.0,1308.0,168.0,0.0,19.0,39.0,110.0,1140.0,281.0,829.0,30.0,Non-New York City
2107,Chautauqua,Lakewood-Busti PD,2013,12.0,342.0,1.0,0.0,0.0,1.0,0.0,341.0,23.0,316.0,2.0,Non-New York City
2137,Chautauqua,Silver Creek Vg PD,2013,3.0,14.0,3.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,0.0,Non-New York City
2161,Chautauqua,SUNY Police - Fredonia,2013,12.0,23.0,1.0,0.0,0.0,0.0,1.0,22.0,3.0,19.0,0.0,Non-New York City
2191,Chautauqua,Westfield Vg PD,2013,12.0,8.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,0.0,Non-New York City
2220,Chemung,Chemung County Park PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
2245,Chemung,Chemung County Sheriff,2013,12.0,594.0,29.0,0.0,3.0,5.0,21.0,565.0,58.0,500.0,7.0,Non-New York City
2275,Chemung,Chemung County State Police,2013,12.0,293.0,37.0,0.0,2.0,2.0,33.0,256.0,40.0,211.0,5.0,Non-New York City
2305,Chemung,County Total,2013,,2201.0,151.0,0.0,7.0,37.0,107.0,2050.0,351.0,1672.0,27.0,Non-New York City
2335,Chemung,Elmira City PD,2013,12.0,1108.0,81.0,0.0,2.0,29.0,50.0,1027.0,224.0,790.0,13.0,Non-New York City
2365,Chemung,Elmira Heights Vg PD,2013,12.0,91.0,2.0,0.0,0.0,1.0,1.0,89.0,9.0,78.0,2.0,Non-New York City
2393,Chemung,Elmira Town PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
2423,Chemung,Horseheads Vg PD,2013,12.0,112.0,2.0,0.0,0.0,0.0,2.0,110.0,20.0,90.0,0.0,Non-New York City
2470,Chenango,Afton Vg PD,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,Non-New York City
2497,Chenango,Bainbridge Vg PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
2550,Chenango,Chenango County Sheriff,2013,12.0,360.0,16.0,2.0,7.0,1.0,6.0,344.0,68.0,273.0,3.0,Non-New York City
2580,Chenango,Chenango County State Police,2013,12.0,185.0,14.0,0.0,2.0,2.0,10.0,171.0,58.0,107.0,6.0,Non-New York City
2610,Chenango,County Total,2013,,926.0,48.0,2.0,13.0,4.0,29.0,878.0,164.0,702.0,12.0,Non-New York City
2635,Chenango,Greene Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
2694,Chenango,Norwich City PD,2013,12.0,340.0,15.0,0.0,4.0,0.0,11.0,325.0,25.0,297.0,3.0,Non-New York City
2723,Chenango,Oxford Vg PD,2013,12.0,15.0,2.0,0.0,0.0,1.0,1.0,13.0,1.0,12.0,0.0,Non-New York City
2753,Chenango,Sherburne Vg PD,2013,12.0,16.0,1.0,0.0,0.0,0.0,1.0,15.0,7.0,8.0,0.0,Non-New York City
2799,Clinton,Clinton County Park PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,Non-New York City
2828,Clinton,Clinton County Sheriff,2013,12.0,43.0,12.0,0.0,1.0,0.0,11.0,31.0,0.0,29.0,2.0,Non-New York City
2858,Clinton,Clinton County State Police,2013,12.0,998.0,58.0,3.0,15.0,5.0,35.0,940.0,169.0,742.0,29.0,Non-New York City
2888,Clinton,County Total,2013,,1666.0,111.0,3.0,21.0,9.0,78.0,1555.0,262.0,1254.0,39.0,Non-New York City
2918,Clinton,Plattsburgh City PD,2013,12.0,525.0,41.0,0.0,5.0,4.0,32.0,484.0,80.0,396.0,8.0,Non-New York City
2975,Clinton,SUNY Police - Plattsburgh,2013,12.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0,12.0,85.0,0.0,Non-New York City
3005,Columbia,Chatham Vg PD,2013,12.0,35.0,3.0,0.0,0.0,0.0,3.0,32.0,5.0,27.0,0.0,Non-New York City
3046,Columbia,Columbia County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,Non-New York City
3076,Columbia,Columbia County Sheriff,2013,12.0,333.0,15.0,0.0,1.0,2.0,12.0,318.0,76.0,236.0,6.0,Non-New York City
3106,Columbia,Columbia County State Police,2013,12.0,294.0,30.0,0.0,6.0,6.0,18.0,264.0,86.0,173.0,5.0,Non-New York City
3158,Columbia,County Total,2013,,1127.0,76.0,0.0,8.0,17.0,51.0,1051.0,207.0,830.0,14.0,Non-New York City
3184,Columbia,Germantown Town PD,2013,12.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,0.0,Non-New York City
3211,Columbia,Greenport Town PD,2013,12.0,219.0,2.0,0.0,0.0,1.0,1.0,217.0,10.0,205.0,2.0,Non-New York City
3241,Columbia,Hudson City PD,2013,12.0,224.0,26.0,0.0,1.0,8.0,17.0,198.0,25.0,172.0,1.0,Non-New York City
3288,Columbia,Stockport Town PD,2013,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,Non-New York City
3316,Cortland,Cortland City PD,2013,12.0,416.0,18.0,0.0,3.0,3.0,12.0,398.0,88.0,306.0,4.0,Non-New York City
3351,Cortland,Cortland County Sheriff,2013,12.0,431.0,26.0,0.0,7.0,3.0,16.0,405.0,77.0,327.0,1.0,Non-New York City
3381,Cortland,Cortland County State Police,2013,12.0,127.0,4.0,0.0,0.0,2.0,2.0,123.0,28.0,89.0,6.0,Non-New York City
3411,Cortland,County Total,2013,,1064.0,51.0,0.0,12.0,9.0,30.0,1013.0,210.0,791.0,12.0,Non-New York City
3441,Cortland,Homer Vg PD,2013,12.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,29.0,1.0,Non-New York City
3490,Cortland,SUNY Police - Cortland,2013,12.0,57.0,3.0,0.0,2.0,1.0,0.0,54.0,14.0,40.0,0.0,Non-New York City
3563,Delaware,County Total,2013,,806.0,56.0,2.0,7.0,5.0,42.0,750.0,172.0,561.0,17.0,Non-New York City
3604,Delaware,Delaware County Sheriff,2013,12.0,178.0,17.0,0.0,1.0,1.0,15.0,161.0,47.0,113.0,1.0,Non-New York City
3634,Delaware,Delaware County State Police,2013,12.0,260.0,22.0,2.0,1.0,3.0,16.0,238.0,80.0,147.0,11.0,Non-New York City
3664,Delaware,Delhi Vg PD,2013,12.0,37.0,1.0,0.0,0.0,0.0,1.0,36.0,4.0,30.0,2.0,Non-New York City
3725,Delaware,Sidney Vg PD,2013,12.0,195.0,9.0,0.0,4.0,1.0,4.0,186.0,21.0,162.0,3.0,Non-New York City
3752,Delaware,SUNY Police - Delhi,2013,12.0,63.0,1.0,0.0,0.0,0.0,1.0,62.0,3.0,59.0,0.0,Non-New York City
3782,Delaware,Walton Vg PD,2013,12.0,73.0,6.0,0.0,1.0,0.0,5.0,67.0,17.0,50.0,0.0,Non-New York City
3810,Dutchess,Beacon City PD,2013,12.0,320.0,51.0,0.0,0.0,7.0,44.0,269.0,72.0,188.0,9.0,Non-New York City
3840,Dutchess,County Total,2013,,5121.0,584.0,12.0,28.0,150.0,394.0,4537.0,770.0,3629.0,138.0,Non-New York City
3875,Dutchess,Dutchess County MTA,2013,12.0,33.0,1.0,0.0,0.0,1.0,0.0,32.0,0.0,31.0,1.0,Non-New York City
3905,Dutchess,Dutchess County Park PD,2013,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,14.0,0.0,Non-New York City
3935,Dutchess,Dutchess County Sheriff,2013,12.0,720.0,73.0,0.0,2.0,7.0,64.0,647.0,137.0,484.0,26.0,Non-New York City
3965,Dutchess,Dutchess County State Police,2013,12.0,663.0,85.0,3.0,6.0,10.0,66.0,578.0,131.0,424.0,23.0,Non-New York City
3995,Dutchess,East Fishkill Town PD,2013,12.0,174.0,9.0,1.0,0.0,1.0,7.0,165.0,18.0,141.0,6.0,Non-New York City
4025,Dutchess,Fishkill Town PD,2013,12.0,279.0,3.0,0.0,0.0,1.0,2.0,276.0,28.0,243.0,5.0,Non-New York City
4055,Dutchess,Fishkill Vg PD,2013,12.0,27.0,1.0,0.0,0.0,1.0,0.0,26.0,0.0,26.0,0.0,Non-New York City
4085,Dutchess,Hyde Park Town PD,2013,12.0,198.0,18.0,0.0,3.0,4.0,11.0,180.0,42.0,133.0,5.0,Non-New York City
4118,Dutchess,Millerton Vg PD,2013,12.0,14.0,6.0,0.0,0.0,0.0,6.0,8.0,4.0,4.0,0.0,Non-New York City
4164,Dutchess,Pine Plains Town PD,2013,12.0,13.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,9.0,2.0,Non-New York City
4191,Dutchess,Poughkeepsie City PD,2013,12.0,1115.0,288.0,7.0,16.0,100.0,165.0,827.0,189.0,590.0,48.0,Non-New York City
4221,Dutchess,Poughkeepsie Town PD,2013,12.0,1379.0,39.0,1.0,1.0,12.0,25.0,1340.0,125.0,1204.0,11.0,Non-New York City
4247,Dutchess,Red Hook Vg PD,2013,12.0,31.0,1.0,0.0,0.0,0.0,1.0,30.0,6.0,24.0,0.0,Non-New York City
4267,Dutchess,Rhinebeck Vg PD,2013,12.0,44.0,2.0,0.0,0.0,0.0,2.0,42.0,0.0,41.0,1.0,Non-New York City
4297,Dutchess,Wappingers Falls Vg PD,2013,12.0,95.0,6.0,0.0,0.0,6.0,0.0,89.0,15.0,73.0,1.0,Non-New York City
4326,Erie,Akron Vg PD,2013,12.0,19.0,3.0,0.0,0.0,0.0,3.0,16.0,1.0,15.0,0.0,Non-New York City
4356,Erie,Amherst Town PD,2013,12.0,2225.0,107.0,1.0,7.0,31.0,68.0,2118.0,204.0,1882.0,32.0,Non-New York City
4403,Erie,Brant Town PD,2013,12.0,35.0,4.0,0.0,0.0,1.0,3.0,31.0,9.0,20.0,2.0,Non-New York City
4433,Erie,Buffalo City PD,2013,12.0,15731.0,3251.0,47.0,150.0,1320.0,1734.0,12480.0,3458.0,8066.0,956.0,Non-New York City
4463,Erie,Cheektowaga Town PD,2013,12.0,2847.0,158.0,0.0,11.0,48.0,99.0,2689.0,345.0,2271.0,73.0,Non-New York City
4493,Erie,County Total,2013,,29295.0,4089.0,55.0,209.0,1501.0,2324.0,25206.0,5222.0,18729.0,1255.0,Non-New York City
4523,Erie,Depew Vg PD,2013,12.0,327.0,17.0,0.0,3.0,2.0,12.0,310.0,54.0,251.0,5.0,Non-New York City
4553,Erie,East Aurora-Town Of Aurora PD,2013,12.0,136.0,5.0,0.0,0.0,2.0,3.0,131.0,24.0,105.0,2.0,Non-New York City
4583,Erie,Eden Town PD,2013,12.0,32.0,1.0,0.0,0.0,0.0,1.0,31.0,7.0,24.0,0.0,Non-New York City
4648,Erie,Erie County Park PD,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,Non-New York City
4678,Erie,Erie County Sheriff,2013,12.0,1002.0,104.0,2.0,1.0,8.0,93.0,898.0,180.0,695.0,23.0,Non-New York City
4708,Erie,Erie County State Police,2013,12.0,375.0,24.0,0.0,6.0,2.0,16.0,351.0,46.0,287.0,18.0,Non-New York City
4738,Erie,Evans Town PD,2013,12.0,330.0,17.0,0.0,1.0,1.0,15.0,313.0,49.0,258.0,6.0,Non-New York City
4768,Erie,Gowanda Vg PD,2013,12.0,34.0,5.0,0.0,0.0,0.0,5.0,29.0,11.0,16.0,2.0,Non-New York City
4798,Erie,Hamburg Town PD,2013,12.0,1205.0,38.0,1.0,1.0,12.0,24.0,1167.0,134.0,1012.0,21.0,Non-New York City
4828,Erie,Hamburg Vg PD,2013,12.0,169.0,8.0,0.0,2.0,0.0,6.0,161.0,40.0,121.0,0.0,Non-New York City
4858,Erie,Kenmore Vg PD,2013,12.0,246.0,26.0,1.0,2.0,10.0,13.0,220.0,34.0,181.0,5.0,Non-New York City
4888,Erie,Lackawanna City PD,2013,12.0,622.0,89.0,1.0,13.0,11.0,64.0,533.0,100.0,398.0,35.0,Non-New York City
4918,Erie,Lancaster Town PD,2013,12.0,562.0,15.0,0.0,1.0,4.0,10.0,547.0,44.0,494.0,9.0,Non-New York City
4965,Erie,Orchard Park Town PD,2013,12.0,362.0,16.0,0.0,2.0,4.0,10.0,346.0,37.0,297.0,12.0,Non-New York City
5013,Erie,SUNY Police - Buffalo,2013,12.0,381.0,11.0,0.0,1.0,5.0,5.0,370.0,47.0,319.0,4.0,Non-New York City
5025,Erie,SUNY Police - Buffalo State College,2013,12.0,153.0,4.0,0.0,2.0,2.0,0.0,149.0,15.0,134.0,0.0,Non-New York City
5055,Erie,Tonawanda City PD,2013,12.0,349.0,34.0,0.0,0.0,4.0,30.0,315.0,24.0,289.0,2.0,Non-New York City
5085,Erie,Tonawanda Town PD,2013,12.0,1216.0,117.0,1.0,5.0,25.0,86.0,1099.0,190.0,882.0,27.0,Non-New York City
5115,Erie,West Seneca Town PD,2013,12.0,931.0,35.0,1.0,1.0,9.0,24.0,896.0,166.0,710.0,20.0,Non-New York City
5145,Essex,County Total,2013,,449.0,43.0,0.0,8.0,2.0,33.0,406.0,121.0,266.0,19.0,Non-New York City
5171,Essex,Essex County Sheriff,2013,12.0,12.0,5.0,0.0,0.0,0.0,5.0,7.0,2.0,5.0,0.0,Non-New York City
5201,Essex,Essex County State Police,2013,12.0,264.0,18.0,0.0,4.0,2.0,12.0,246.0,82.0,148.0,16.0,Non-New York City
5231,Essex,Lake Placid Vg PD,2013,12.0,53.0,2.0,0.0,0.0,0.0,2.0,51.0,11.0,38.0,2.0,Non-New York City
5255,Essex,Moriah Town PD,2013,12.0,16.0,7.0,0.0,0.0,0.0,7.0,9.0,3.0,5.0,1.0,Non-New York City
5284,Essex,Ticonderoga Town PD,2013,12.0,104.0,11.0,0.0,4.0,0.0,7.0,93.0,23.0,70.0,0.0,Non-New York City
