,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
5314,Franklin,County Total,2013,,876.0,61.0,1.0,10.0,3.0,47.0,815.0,179.0,608.0,28.0,Non-New York City
5326,Franklin,Franklin County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
5334,Franklin,Franklin County Sheriff,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
5358,Franklin,Franklin County State Police,2013,12.0,413.0,28.0,0.0,9.0,0.0,19.0,385.0,99.0,269.0,17.0,Non-New York City
5388,Franklin,Malone Vg PD,2013,12.0,196.0,4.0,0.0,0.0,2.0,2.0,192.0,28.0,161.0,3.0,Non-New York City
5418,Franklin,Saranac Lake Vg PD,2013,12.0,179.0,26.0,1.0,1.0,1.0,23.0,153.0,30.0,117.0,6.0,Non-New York City
5448,Franklin,Tupper Lake Vg PD,2013,12.0,86.0,3.0,0.0,0.0,0.0,3.0,83.0,22.0,59.0,2.0,Non-New York City
5478,Fulton,County Total,2013,,1527.0,62.0,1.0,13.0,11.0,37.0,1465.0,262.0,1164.0,39.0,Non-New York City
5513,Fulton,Fulton County Sheriff,2013,12.0,352.0,11.0,1.0,2.0,0.0,8.0,341.0,90.0,245.0,6.0,Non-New York City
5543,Fulton,Fulton County State Police,2013,12.0,125.0,4.0,0.0,1.0,1.0,2.0,121.0,32.0,85.0,4.0,Non-New York City
5573,Fulton,Gloversville City PD,2013,12.0,719.0,33.0,0.0,9.0,6.0,18.0,686.0,111.0,560.0,15.0,Non-New York City
5603,Fulton,Johnstown City PD,2013,12.0,330.0,14.0,0.0,1.0,4.0,9.0,316.0,29.0,273.0,14.0,Non-New York City
5630,Fulton,Northville Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
5658,Genesee,Batavia City PD,2013,12.0,618.0,57.0,0.0,7.0,13.0,37.0,561.0,104.0,454.0,3.0,Non-New York City
5694,Genesee,County Total,2013,,1467.0,109.0,0.0,22.0,22.0,65.0,1358.0,294.0,1044.0,20.0,Non-New York City
5737,Genesee,Genesee County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
5764,Genesee,Genesee County Sheriff,2013,12.0,631.0,33.0,0.0,9.0,8.0,16.0,598.0,155.0,427.0,16.0,Non-New York City
5794,Genesee,Genesee County State Police,2013,12.0,119.0,6.0,0.0,3.0,0.0,3.0,113.0,17.0,95.0,1.0,Non-New York City
5824,Genesee,LeRoy Vg PD,2013,12.0,98.0,13.0,0.0,3.0,1.0,9.0,85.0,18.0,67.0,0.0,Non-New York City
5870,Greene,Cairo Town PD,2013,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,15.0,0.0,Non-New York City
5900,Greene,Catskill Vg PD,2013,12.0,133.0,14.0,0.0,1.0,3.0,10.0,119.0,16.0,101.0,2.0,Non-New York City
5930,Greene,County Total,2013,,718.0,58.0,1.0,8.0,6.0,43.0,660.0,213.0,421.0,26.0,Non-New York City
5960,Greene,Coxsackie Vg PD,2013,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,0.0,Non-New York City
5978,Greene,Durham Town PD,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,Non-New York City
6020,Greene,Greene County Sheriff,2013,9.0,96.0,8.0,0.0,0.0,1.0,7.0,88.0,43.0,44.0,1.0,Non-New York City
6050,Greene,Greene County State Police,2013,12.0,444.0,36.0,1.0,7.0,2.0,26.0,408.0,146.0,239.0,23.0,Non-New York City
6107,Greene,Windham Town PD,2013,12.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,0.0,Non-New York City
6137,Hamilton,County Total,2013,,62.0,4.0,0.0,0.0,0.0,4.0,58.0,21.0,37.0,0.0,Non-New York City
6167,Hamilton,Hamilton County Sheriff,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,Non-New York City
6197,Hamilton,Hamilton County State Police,2013,12.0,38.0,1.0,0.0,0.0,0.0,1.0,37.0,11.0,26.0,0.0,Non-New York City
6232,Hamilton,Inlet Town PD,2013,12.0,18.0,3.0,0.0,0.0,0.0,3.0,15.0,6.0,9.0,0.0,Non-New York City
6262,Herkimer,County Total,2013,,1190.0,126.0,4.0,15.0,7.0,100.0,1064.0,245.0,803.0,16.0,Non-New York City
6291,Herkimer,Dolgeville Vg PD,2013,12.0,46.0,7.0,0.0,0.0,0.0,7.0,39.0,5.0,33.0,1.0,Non-New York City
6320,Herkimer,Frankfort Town PD,2013,12.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,22.0,27.0,1.0,Non-New York City
6349,Herkimer,Frankfort Vg PD,2013,12.0,38.0,5.0,0.0,0.0,0.0,5.0,33.0,4.0,28.0,1.0,Non-New York City
6399,Herkimer,Herkimer County Sheriff,2013,12.0,6.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,Non-New York City
6427,Herkimer,Herkimer County State Police,2013,12.0,329.0,28.0,4.0,2.0,1.0,21.0,301.0,126.0,164.0,11.0,Non-New York City
6457,Herkimer,Herkimer Vg PD,2013,12.0,432.0,53.0,0.0,9.0,3.0,41.0,379.0,49.0,330.0,0.0,Non-New York City
6487,Herkimer,Ilion Vg PD,2013,12.0,143.0,15.0,0.0,1.0,2.0,12.0,128.0,21.0,106.0,1.0,Non-New York City
6517,Herkimer,Little Falls City PD,2013,12.0,146.0,16.0,0.0,3.0,1.0,12.0,130.0,18.0,111.0,1.0,Non-New York City
6592,Jefferson,Adams Vg PD,2013,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,0.0,Non-New York City
6621,Jefferson,Alexandria Bay Vg PD,2013,12.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,10.0,1.0,Non-New York City
6635,Jefferson,Black River Vg PD,2013,12.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,12.0,0.0,Non-New York City
6664,Jefferson,Brownville Vg PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,Non-New York City
6689,Jefferson,Cape Vincent Vg PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
6716,Jefferson,Carthage Vg PD,2013,12.0,61.0,1.0,0.0,1.0,0.0,0.0,60.0,12.0,47.0,1.0,Non-New York City
6746,Jefferson,Clayton Vg PD,2013,12.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,16.0,0.0,Non-New York City
6775,Jefferson,County Total,2013,,2402.0,140.0,1.0,16.0,16.0,107.0,2262.0,339.0,1843.0,80.0,Non-New York City
6803,Jefferson,Dexter Vg PD,2013,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,0.0,Non-New York City
6832,Jefferson,Glen Park Vg PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,Non-New York City
6871,Jefferson,Jefferson County Park PD,2013,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,15.0,0.0,Non-New York City
6901,Jefferson,Jefferson County Sheriff,2013,12.0,226.0,11.0,0.0,1.0,0.0,10.0,215.0,21.0,191.0,3.0,Non-New York City
6931,Jefferson,Jefferson County State Police,2013,12.0,733.0,17.0,0.0,1.0,0.0,16.0,716.0,122.0,562.0,32.0,Non-New York City
6987,Jefferson,Watertown City PD,2013,12.0,1281.0,111.0,1.0,13.0,16.0,81.0,1170.0,170.0,957.0,43.0,Non-New York City
7043,Kings,County Total,2013,12.0,59056.0,18258.0,147.0,401.0,6854.0,10856.0,40798.0,5635.0,32557.0,2606.0,New York City
7073,Lewis,County Total,2013,,332.0,24.0,1.0,1.0,0.0,22.0,308.0,95.0,199.0,14.0,Non-New York City
7088,Lewis,Lewis County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
7113,Lewis,Lewis County Sheriff,2013,12.0,154.0,15.0,1.0,0.0,0.0,14.0,139.0,50.0,85.0,4.0,Non-New York City
7143,Lewis,Lewis County State Police,2013,12.0,117.0,7.0,0.0,1.0,0.0,6.0,110.0,38.0,66.0,6.0,Non-New York City
7173,Lewis,Lowville Vg PD,2013,12.0,60.0,2.0,0.0,0.0,0.0,2.0,58.0,7.0,47.0,4.0,Non-New York City
7203,Livingston,Avon Vg PD,2013,12.0,26.0,1.0,0.0,0.0,1.0,0.0,25.0,3.0,20.0,2.0,Non-New York City
7231,Livingston,Caledonia Vg PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,Non-New York City
7260,Livingston,County Total,2013,,1088.0,56.0,0.0,16.0,9.0,31.0,1032.0,185.0,814.0,33.0,Non-New York City
7290,Livingston,Dansville Vg PD,2013,12.0,154.0,2.0,0.0,0.0,1.0,1.0,152.0,24.0,120.0,8.0,Non-New York City
7320,Livingston,Geneseo Vg PD,2013,12.0,168.0,6.0,0.0,3.0,3.0,0.0,162.0,7.0,155.0,0.0,Non-New York City
7352,Livingston,Livingston County Park PD,2013,12.0,13.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,12.0,0.0,Non-New York City
7381,Livingston,Livingston County Sheriff,2013,12.0,469.0,25.0,0.0,5.0,2.0,18.0,444.0,116.0,310.0,18.0,Non-New York City
7411,Livingston,Livingston County State Police,2013,12.0,65.0,13.0,0.0,3.0,1.0,9.0,52.0,12.0,36.0,4.0,Non-New York City
7441,Livingston,Mount Morris Vg PD,2013,12.0,76.0,2.0,0.0,0.0,1.0,1.0,74.0,10.0,63.0,1.0,Non-New York City
7471,Livingston,Nunda Town and Vg PD,2013,12.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,13.0,0.0,Non-New York City
7500,Livingston,SUNY Police - Geneseo,2013,12.0,95.0,6.0,0.0,5.0,0.0,1.0,89.0,9.0,80.0,0.0,Non-New York City
7530,Madison,Canastota Vg PD,2013,12.0,64.0,4.0,0.0,0.0,0.0,4.0,60.0,8.0,51.0,1.0,Non-New York City
7560,Madison,Cazenovia Vg PD,2013,12.0,58.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0,52.0,1.0,Non-New York City
7590,Madison,Chittenango Vg PD,2013,12.0,66.0,1.0,0.0,0.0,0.0,1.0,65.0,11.0,53.0,1.0,Non-New York City
7620,Madison,County Total,2013,,1156.0,55.0,1.0,9.0,7.0,38.0,1101.0,210.0,868.0,23.0,Non-New York City
7667,Madison,Hamilton Vg PD,2013,12.0,34.0,4.0,0.0,0.0,1.0,3.0,30.0,2.0,28.0,0.0,Non-New York City
7697,Madison,Madison County Park PD,2013,12.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,Non-New York City
7726,Madison,Madison County Sheriff,2013,12.0,217.0,10.0,0.0,1.0,0.0,9.0,207.0,58.0,145.0,4.0,Non-New York City
7756,Madison,Madison County State Police,2013,12.0,192.0,14.0,1.0,5.0,0.0,8.0,178.0,48.0,123.0,7.0,Non-New York City
7786,Madison,Oneida City PD,2013,12.0,452.0,18.0,0.0,2.0,4.0,12.0,434.0,68.0,357.0,9.0,Non-New York City
7816,Madison,SUNY Police - Morrisville,2013,12.0,69.0,4.0,0.0,1.0,2.0,1.0,65.0,10.0,55.0,0.0,Non-New York City
7846,Monroe,Brighton Town PD,2013,12.0,822.0,27.0,1.0,2.0,10.0,14.0,795.0,143.0,624.0,28.0,Non-New York City
7876,Monroe,Brockport Vg PD,2013,12.0,190.0,23.0,1.0,1.0,5.0,16.0,167.0,29.0,134.0,4.0,Non-New York City
7906,Monroe,County Total,2013,,23076.0,2686.0,48.0,144.0,1133.0,1361.0,20390.0,4267.0,15236.0,887.0,Non-New York City
7936,Monroe,East Rochester Vg PD,2013,12.0,133.0,8.0,1.0,0.0,3.0,4.0,125.0,25.0,97.0,3.0,Non-New York City
7966,Monroe,Fairport Vg PD,2013,12.0,58.0,5.0,0.0,1.0,0.0,4.0,53.0,13.0,37.0,3.0,Non-New York City
7996,Monroe,Gates Town PD,2013,12.0,1108.0,57.0,0.0,4.0,19.0,34.0,1051.0,95.0,922.0,34.0,Non-New York City
8026,Monroe,Greece Town PD,2013,12.0,2457.0,151.0,0.0,9.0,60.0,82.0,2306.0,332.0,1928.0,46.0,Non-New York City
8056,Monroe,Irondequoit Town PD,2013,12.0,1447.0,93.0,1.0,6.0,51.0,35.0,1354.0,271.0,1049.0,34.0,Non-New York City
8099,Monroe,Monroe County Park PD,2013,12.0,21.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0,19.0,0.0,Non-New York City
8129,Monroe,Monroe County Sheriff,2013,12.0,3774.0,162.0,2.0,16.0,56.0,88.0,3612.0,636.0,2876.0,100.0,Non-New York City
8159,Monroe,Monroe County State Police,2013,12.0,82.0,7.0,0.0,6.0,1.0,0.0,75.0,1.0,66.0,8.0,Non-New York City
8189,Monroe,Ogden Town PD,2013,12.0,225.0,17.0,0.0,2.0,6.0,9.0,208.0,24.0,176.0,8.0,Non-New York City
8219,Monroe,Rochester City PD,2013,12.0,12160.0,2109.0,42.0,94.0,918.0,1055.0,10051.0,2587.0,6855.0,609.0,Non-New York City
8245,Monroe,SUNY Police - Brockport,2013,12.0,108.0,5.0,0.0,0.0,1.0,4.0,103.0,9.0,91.0,3.0,Non-New York City
8275,Monroe,Webster Town and Vg PD,2013,12.0,491.0,21.0,0.0,2.0,3.0,16.0,470.0,101.0,362.0,7.0,Non-New York City
8310,Montgomery,Amsterdam City PD,2013,12.0,435.0,30.0,0.0,0.0,12.0,18.0,405.0,99.0,291.0,15.0,Non-New York City
8337,Montgomery,Canajoharie Vg PD,2013,12.0,15.0,1.0,0.0,0.0,0.0,1.0,14.0,1.0,13.0,0.0,Non-New York City
8367,Montgomery,County Total,2013,,1125.0,48.0,0.0,4.0,13.0,31.0,1077.0,186.0,864.0,27.0,Non-New York City
8397,Montgomery,Fort Plain Vg PD,2013,12.0,94.0,4.0,0.0,0.0,1.0,3.0,90.0,23.0,65.0,2.0,Non-New York City
8421,Montgomery,Montgomery County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
8445,Montgomery,Montgomery County Sheriff,2013,12.0,424.0,6.0,0.0,0.0,0.0,6.0,418.0,37.0,377.0,4.0,Non-New York City
8475,Montgomery,Montgomery County State Police,2013,12.0,106.0,4.0,0.0,4.0,0.0,0.0,102.0,18.0,78.0,6.0,Non-New York City
8505,Montgomery,St Johnsville Vg PD,2013,12.0,50.0,3.0,0.0,0.0,0.0,3.0,47.0,8.0,39.0,0.0,Non-New York City
8534,Nassau,Centre Island Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
8564,Nassau,County Total,2013,,18683.0,2111.0,25.0,54.0,1043.0,989.0,16572.0,2355.0,13328.0,889.0,Non-New York City
8598,Nassau,Floral Park Vg PD,2013,12.0,86.0,14.0,0.0,2.0,7.0,5.0,72.0,16.0,44.0,12.0,Non-New York City
8628,Nassau,Freeport Vg PD,2013,12.0,1085.0,152.0,0.0,2.0,76.0,74.0,933.0,168.0,698.0,67.0,Non-New York City
8658,Nassau,Garden City Vg PD,2013,12.0,356.0,10.0,0.0,0.0,4.0,6.0,346.0,33.0,303.0,10.0,Non-New York City
8688,Nassau,Glen Cove City PD,2013,12.0,98.0,8.0,0.0,0.0,4.0,4.0,90.0,25.0,62.0,3.0,Non-New York City
8717,Nassau,Great Neck Estates Vg PD,2013,12.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,12.0,2.0,Non-New York City
8746,Nassau,Hempstead Vg PD,2013,12.0,1391.0,433.0,10.0,3.0,204.0,216.0,958.0,206.0,630.0,122.0,Non-New York City
8774,Nassau,Kensington Vg PD,2013,11.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,Non-New York City
8800,Nassau,Kings Point Vg PD,2013,12.0,17.0,1.0,0.0,0.0,0.0,1.0,16.0,4.0,11.0,1.0,Non-New York City
8830,Nassau,Lake Success Vg PD,2013,12.0,34.0,2.0,0.0,0.0,0.0,2.0,32.0,10.0,21.0,1.0,Non-New York City
8869,Nassau,Long Beach City PD,2013,12.0,373.0,35.0,0.0,1.0,13.0,21.0,338.0,42.0,278.0,18.0,Non-New York City
8899,Nassau,Lynbrook Vg PD,2013,12.0,175.0,12.0,0.0,1.0,3.0,8.0,163.0,18.0,128.0,17.0,Non-New York City
8929,Nassau,Malverne Vg PD,2013,12.0,25.0,4.0,0.0,0.0,3.0,1.0,21.0,3.0,17.0,1.0,Non-New York City
8959,Nassau,Nassau County MTA,2013,12.0,86.0,11.0,1.0,0.0,8.0,2.0,75.0,1.0,74.0,0.0,Non-New York City
8989,Nassau,Nassau County Park PD,2013,12.0,62.0,5.0,0.0,1.0,2.0,2.0,57.0,3.0,52.0,2.0,Non-New York City
9019,Nassau,Nassau County PD,2013,12.0,14283.0,1394.0,12.0,43.0,706.0,633.0,12889.0,1737.0,10558.0,594.0,Non-New York City
9049,Nassau,Nassau County State Police,2013,12.0,6.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,Non-New York City
9079,Nassau,Old Brookville Vg PD,2013,12.0,58.0,4.0,0.0,0.0,1.0,3.0,54.0,16.0,28.0,10.0,Non-New York City
9109,Nassau,Old Westbury Vg PD,2013,12.0,40.0,1.0,0.0,0.0,0.0,1.0,39.0,6.0,29.0,4.0,Non-New York City
9139,Nassau,Oyster Bay Cove Vg PD,2013,12.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,16.0,0.0,Non-New York City
9169,Nassau,Port Washington Police District,2013,12.0,100.0,2.0,0.0,0.0,1.0,1.0,98.0,13.0,81.0,4.0,Non-New York City
9199,Nassau,Rockville Centre Vg PD,2013,12.0,293.0,22.0,1.0,1.0,11.0,9.0,271.0,30.0,223.0,18.0,Non-New York City
9229,Nassau,Sands Point Vg PD,2013,12.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,13.0,1.0,Non-New York City
9259,Nassau,SUNY Police - Old Westbury,2013,12.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,8.0,45.0,1.0,Non-New York City
9286,New York,County Total,2013,12.0,51872.0,8708.0,39.0,236.0,3340.0,5093.0,43164.0,2775.0,39647.0,742.0,New York City
9316,Niagara,County Total,2013,,6655.0,798.0,4.0,37.0,240.0,517.0,5857.0,1312.0,4323.0,222.0,Non-New York City
9348,Niagara,Lewiston Town PD,2013,12.0,146.0,12.0,0.0,0.0,1.0,11.0,134.0,30.0,96.0,8.0,Non-New York City
9378,Niagara,Lockport City PD,2013,12.0,723.0,70.0,0.0,6.0,24.0,40.0,653.0,120.0,527.0,6.0,Non-New York City
9407,Niagara,Middleport Vg PD,2013,12.0,21.0,2.0,0.0,0.0,0.0,2.0,19.0,1.0,16.0,2.0,Non-New York City
9451,Niagara,Niagara County Park PD,2013,12.0,60.0,2.0,0.0,0.0,2.0,0.0,58.0,1.0,56.0,1.0,Non-New York City
9481,Niagara,Niagara County Sheriff,2013,12.0,966.0,61.0,0.0,8.0,22.0,31.0,905.0,234.0,618.0,53.0,Non-New York City
9511,Niagara,Niagara County State Police,2013,12.0,208.0,13.0,0.0,3.0,6.0,4.0,195.0,18.0,171.0,6.0,Non-New York City
9541,Niagara,Niagara Falls City PD,2013,12.0,3393.0,584.0,3.0,12.0,166.0,403.0,2809.0,746.0,1949.0,114.0,Non-New York City
9571,Niagara,Niagara Town PD,2013,12.0,507.0,13.0,0.0,0.0,2.0,11.0,494.0,48.0,432.0,14.0,Non-New York City
9601,Niagara,North Tonawanda City PD,2013,12.0,628.0,41.0,1.0,8.0,17.0,15.0,587.0,114.0,455.0,18.0,Non-New York City
9621,Niagara,Youngstown Vg PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
9651,Oneida,Boonville Vg PD,2013,12.0,20.0,1.0,0.0,0.0,0.0,1.0,19.0,7.0,12.0,0.0,Non-New York City
9681,Oneida,Camden Vg PD,2013,12.0,51.0,5.0,0.0,0.0,0.0,5.0,46.0,4.0,42.0,0.0,Non-New York City
9716,Oneida,County Total,2013,,5990.0,537.0,13.0,45.0,136.0,343.0,5453.0,1056.0,4228.0,169.0,Non-New York City
9746,Oneida,Kirkland Town PD,2013,12.0,103.0,0.0,0.0,0.0,0.0,0.0,103.0,21.0,81.0,1.0,Non-New York City
9776,Oneida,New Hartford Town and Vg PD,2013,12.0,826.0,13.0,0.0,1.0,3.0,9.0,813.0,74.0,734.0,5.0,Non-New York City
9806,Oneida,New York Mills Vg PD,2013,12.0,66.0,2.0,0.0,0.0,0.0,2.0,64.0,16.0,47.0,1.0,Non-New York City
9849,Oneida,Oneida County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,Non-New York City
9879,Oneida,Oneida County Sheriff,2013,12.0,471.0,40.0,1.0,7.0,4.0,28.0,431.0,130.0,291.0,10.0,Non-New York City
9909,Oneida,Oneida County State Police,2013,12.0,632.0,56.0,1.0,10.0,2.0,43.0,576.0,145.0,401.0,30.0,Non-New York City
9939,Oneida,Oriskany Vg PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,Non-New York City
9969,Oneida,Rome City PD,2013,12.0,709.0,47.0,4.0,0.0,23.0,20.0,662.0,157.0,470.0,35.0,Non-New York City
9999,Oneida,Sherrill City PD,2013,12.0,41.0,4.0,0.0,0.0,0.0,4.0,37.0,14.0,23.0,0.0,Non-New York City
10029,Oneida,SUNY Police - Polytechnic Institute,2013,12.0,16.0,1.0,0.0,0.0,0.0,1.0,15.0,1.0,14.0,0.0,Non-New York City
10059,Oneida,Utica City PD,2013,12.0,2890.0,361.0,7.0,27.0,102.0,225.0,2529.0,449.0,1998.0,82.0,Non-New York City
10089,Oneida,Vernon Vg PD,2013,12.0,23.0,2.0,0.0,0.0,1.0,1.0,21.0,4.0,17.0,0.0,Non-New York City
10122,Oneida,Whitesboro Vg PD,2013,12.0,40.0,4.0,0.0,0.0,0.0,4.0,36.0,14.0,21.0,1.0,Non-New York City
10152,Oneida,Whitestown Town PD,2013,12.0,77.0,0.0,0.0,0.0,0.0,0.0,77.0,13.0,61.0,3.0,Non-New York City
10182,Oneida,Yorkville Vg PD,2013,3.0,10.0,1.0,0.0,0.0,1.0,0.0,9.0,4.0,4.0,1.0,Non-New York City
10211,Onondaga,Baldwinsville Vg PD,2013,12.0,93.0,5.0,0.0,0.0,1.0,4.0,88.0,10.0,77.0,1.0,Non-New York City
10241,Onondaga,Camillus Town and Vg PD,2013,12.0,362.0,14.0,0.0,1.0,0.0,13.0,348.0,36.0,307.0,5.0,Non-New York City
10271,Onondaga,Cicero Town PD,2013,12.0,452.0,12.0,0.0,0.0,2.0,10.0,440.0,45.0,393.0,2.0,Non-New York City
10320,Onondaga,County Total,2013,,13987.0,1491.0,25.0,104.0,469.0,893.0,12496.0,2642.0,9312.0,542.0,Non-New York City
10350,Onondaga,DeWitt Town PD,2013,12.0,735.0,20.0,0.0,0.0,10.0,10.0,715.0,85.0,618.0,12.0,Non-New York City
10380,Onondaga,East Syracuse Vg PD,2013,12.0,155.0,8.0,0.0,0.0,4.0,4.0,147.0,19.0,121.0,7.0,Non-New York City
