,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
10405,Onondaga,Geddes Town PD,2013,12.0,258.0,7.0,0.0,0.0,2.0,5.0,251.0,21.0,222.0,8.0,Non-New York City
10432,Onondaga,Jordan Vg PD,2013,12.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,Non-New York City
10461,Onondaga,Liverpool Vg PD,2013,12.0,48.0,2.0,0.0,0.0,1.0,1.0,46.0,6.0,39.0,1.0,Non-New York City
10491,Onondaga,Manlius Town PD,2013,12.0,420.0,18.0,0.0,0.0,4.0,14.0,402.0,56.0,343.0,3.0,Non-New York City
10521,Onondaga,Marcellus Vg PD,2013,12.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,11.0,0.0,Non-New York City
10551,Onondaga,North Syracuse Vg PD,2013,12.0,121.0,10.0,0.0,0.0,0.0,10.0,111.0,14.0,94.0,3.0,Non-New York City
10596,Onondaga,Onondaga County Park PD,2013,12.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,Non-New York City
10626,Onondaga,Onondaga County Park Rangers,2013,12.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,60.0,0.0,Non-New York City
10656,Onondaga,Onondaga County Sheriff,2013,12.0,2448.0,146.0,3.0,18.0,32.0,93.0,2302.0,386.0,1851.0,65.0,Non-New York City
10686,Onondaga,Onondaga County State Police,2013,12.0,783.0,34.0,1.0,10.0,6.0,17.0,749.0,135.0,579.0,35.0,Non-New York City
10716,Onondaga,Skaneateles Vg PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,Non-New York City
10746,Onondaga,Solvay Vg PD,2013,12.0,205.0,19.0,0.0,0.0,6.0,13.0,186.0,38.0,142.0,6.0,Non-New York City
10792,Onondaga,SUNY Police - Environmental Science,2013,12.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,Non-New York City
10804,Onondaga,SUNY Police - Upstate Medical,2013,12.0,119.0,3.0,0.0,0.0,1.0,2.0,116.0,2.0,114.0,0.0,Non-New York City
10834,Onondaga,Syracuse City PD,2013,12.0,7665.0,1192.0,21.0,75.0,400.0,696.0,6473.0,1781.0,4298.0,394.0,Non-New York City
10870,Ontario,Canandaigua City PD,2013,12.0,349.0,29.0,0.0,7.0,9.0,13.0,320.0,55.0,255.0,10.0,Non-New York City
10926,Ontario,County Total,2013,,2096.0,122.0,1.0,20.0,31.0,70.0,1974.0,388.0,1549.0,37.0,Non-New York City
10956,Ontario,Geneva City PD,2013,12.0,371.0,28.0,1.0,4.0,5.0,18.0,343.0,65.0,275.0,3.0,Non-New York City
10994,Ontario,Ontario County Park PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
11022,Ontario,Ontario County Sheriff,2013,12.0,1130.0,54.0,0.0,8.0,16.0,30.0,1076.0,225.0,829.0,22.0,Non-New York City
11052,Ontario,Ontario County State Police,2013,12.0,222.0,10.0,0.0,1.0,1.0,8.0,212.0,40.0,170.0,2.0,Non-New York City
11079,Ontario,Phelps Vg PD,2013,11.0,22.0,1.0,0.0,0.0,0.0,1.0,21.0,3.0,18.0,0.0,Non-New York City
11121,Orange,Blooming Grove Town PD,2013,12.0,113.0,9.0,0.0,1.0,1.0,7.0,104.0,21.0,76.0,7.0,Non-New York City
11151,Orange,Chester Town PD,2013,12.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,15.0,0.0,Non-New York City
11181,Orange,Chester Vg PD,2013,12.0,98.0,6.0,0.0,0.0,4.0,2.0,92.0,14.0,78.0,0.0,Non-New York City
11211,Orange,Cornwall Town PD,2013,12.0,43.0,1.0,0.0,0.0,0.0,1.0,42.0,10.0,32.0,0.0,Non-New York City
11239,Orange,Cornwall-on-Hudson Vg PD,2013,12.0,24.0,2.0,0.0,0.0,0.0,2.0,22.0,8.0,14.0,0.0,Non-New York City
11269,Orange,County Total,2013,,8590.0,868.0,12.0,74.0,277.0,505.0,7722.0,1195.0,6310.0,217.0,Non-New York City
11298,Orange,Crawford Town PD,2013,12.0,122.0,11.0,0.0,0.0,2.0,9.0,111.0,16.0,95.0,0.0,Non-New York City
11316,Orange,Deerpark Town PD,2013,12.0,159.0,7.0,0.0,2.0,2.0,3.0,152.0,52.0,100.0,0.0,Non-New York City
11346,Orange,Florida Vg PD,2013,12.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,39.0,0.0,Non-New York City
11375,Orange,Goshen Town PD,2013,12.0,63.0,1.0,0.0,0.0,0.0,1.0,62.0,7.0,52.0,3.0,Non-New York City
11405,Orange,Goshen Vg PD,2013,12.0,66.0,2.0,0.0,1.0,1.0,0.0,64.0,2.0,62.0,0.0,Non-New York City
11435,Orange,Greenwood Lake Vg PD,2013,12.0,23.0,2.0,0.0,0.0,0.0,2.0,21.0,3.0,16.0,2.0,Non-New York City
11465,Orange,Harriman Vg PD,2013,12.0,15.0,2.0,0.0,0.0,0.0,2.0,13.0,3.0,10.0,0.0,Non-New York City
11495,Orange,Highland Falls Vg PD,2013,12.0,42.0,3.0,0.0,0.0,0.0,3.0,39.0,8.0,31.0,0.0,Non-New York City
11525,Orange,Highlands Town PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,Non-New York City
11555,Orange,Maybrook Vg PD,2013,12.0,17.0,2.0,0.0,0.0,1.0,1.0,15.0,3.0,10.0,2.0,Non-New York City
11585,Orange,Middletown City PD,2013,12.0,966.0,114.0,1.0,6.0,47.0,60.0,852.0,136.0,683.0,33.0,Non-New York City
11615,Orange,Monroe Vg PD,2013,12.0,151.0,14.0,0.0,2.0,5.0,7.0,137.0,16.0,118.0,3.0,Non-New York City
11643,Orange,Montgomery Town PD,2013,12.0,120.0,6.0,0.0,2.0,1.0,3.0,114.0,22.0,91.0,1.0,Non-New York City
11673,Orange,Montgomery Vg PD,2013,12.0,47.0,2.0,0.0,0.0,0.0,2.0,45.0,3.0,42.0,0.0,Non-New York City
11703,Orange,Mount Hope Town PD,2013,12.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,25.0,1.0,Non-New York City
11733,Orange,New Windsor Town PD,2013,12.0,502.0,31.0,0.0,1.0,8.0,22.0,471.0,65.0,394.0,12.0,Non-New York City
11763,Orange,Newburgh City PD,2013,12.0,1475.0,435.0,5.0,21.0,150.0,259.0,1040.0,304.0,673.0,63.0,Non-New York City
11793,Orange,Newburgh Town PD,2013,12.0,1391.0,38.0,0.0,5.0,15.0,18.0,1353.0,143.0,1182.0,28.0,Non-New York City
11834,Orange,Orange County MTA,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,Non-New York City
11864,Orange,Orange County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,Non-New York City
11894,Orange,Orange County Sheriff,2013,12.0,16.0,9.0,0.0,0.0,0.0,9.0,7.0,0.0,7.0,0.0,Non-New York City
11924,Orange,Orange County State Police,2013,12.0,963.0,79.0,4.0,24.0,15.0,36.0,884.0,112.0,754.0,18.0,Non-New York City
11954,Orange,Port Jervis City PD,2013,12.0,299.0,15.0,1.0,3.0,3.0,8.0,284.0,67.0,214.0,3.0,Non-New York City
12028,Orange,Walden Vg PD,2013,12.0,161.0,18.0,1.0,2.0,1.0,14.0,143.0,12.0,126.0,5.0,Non-New York City
12058,Orange,Wallkill Town PD,2013,12.0,807.0,40.0,0.0,3.0,16.0,21.0,767.0,91.0,650.0,26.0,Non-New York City
12088,Orange,Warwick Town PD,2013,12.0,175.0,14.0,0.0,1.0,2.0,11.0,161.0,40.0,117.0,4.0,Non-New York City
12120,Orange,Washingtonville Vg PD,2013,12.0,60.0,2.0,0.0,0.0,1.0,1.0,58.0,5.0,51.0,2.0,Non-New York City
12150,Orange,Woodbury Town PD,2013,12.0,551.0,3.0,0.0,0.0,2.0,1.0,548.0,9.0,535.0,4.0,Non-New York City
12180,Orleans,Albion Vg PD,2013,12.0,245.0,23.0,0.0,3.0,4.0,16.0,222.0,52.0,166.0,4.0,Non-New York City
12210,Orleans,County Total,2013,,747.0,59.0,1.0,6.0,8.0,44.0,688.0,196.0,468.0,24.0,Non-New York City
12234,Orleans,Holley Vg PD,2013,12.0,42.0,3.0,0.0,0.0,0.0,3.0,39.0,8.0,28.0,3.0,Non-New York City
12264,Orleans,Medina Vg PD,2013,12.0,152.0,13.0,0.0,1.0,3.0,9.0,139.0,37.0,100.0,2.0,Non-New York City
12298,Orleans,Orleans County Park PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
12325,Orleans,Orleans County Sheriff,2013,12.0,253.0,13.0,1.0,1.0,1.0,10.0,240.0,84.0,144.0,12.0,Non-New York City
12355,Orleans,Orleans County State Police,2013,12.0,52.0,7.0,0.0,1.0,0.0,6.0,45.0,15.0,27.0,3.0,Non-New York City
12385,Oswego,Central Square Vg PD,2013,12.0,56.0,3.0,0.0,0.0,2.0,1.0,53.0,6.0,45.0,2.0,Non-New York City
12415,Oswego,County Total,2013,,2678.0,158.0,2.0,15.0,29.0,112.0,2520.0,521.0,1919.0,80.0,Non-New York City
12445,Oswego,Fulton City PD,2013,12.0,487.0,24.0,0.0,3.0,7.0,14.0,463.0,81.0,376.0,6.0,Non-New York City
12475,Oswego,Oswego City PD,2013,12.0,691.0,55.0,1.0,3.0,13.0,38.0,636.0,85.0,537.0,14.0,Non-New York City
12515,Oswego,Oswego County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
12543,Oswego,Oswego County Sheriff,2013,12.0,459.0,35.0,1.0,1.0,2.0,31.0,424.0,99.0,305.0,20.0,Non-New York City
12573,Oswego,Oswego County State Police,2013,12.0,728.0,35.0,0.0,8.0,4.0,23.0,693.0,196.0,462.0,35.0,Non-New York City
12606,Oswego,Phoenix Vg PD,2013,12.0,45.0,4.0,0.0,0.0,1.0,3.0,41.0,2.0,39.0,0.0,Non-New York City
12636,Oswego,Pulaski Vg PD,2013,12.0,58.0,1.0,0.0,0.0,0.0,1.0,57.0,12.0,44.0,1.0,Non-New York City
12666,Oswego,SUNY Police - Oswego,2013,12.0,153.0,1.0,0.0,0.0,0.0,1.0,152.0,39.0,111.0,2.0,Non-New York City
12694,Otsego,Cooperstown Vg PD,2013,12.0,24.0,1.0,0.0,0.0,0.0,1.0,23.0,2.0,21.0,0.0,Non-New York City
12723,Otsego,County Total,2013,,835.0,65.0,1.0,11.0,15.0,38.0,770.0,177.0,579.0,14.0,Non-New York City
12753,Otsego,Oneonta City PD,2013,12.0,332.0,21.0,0.0,3.0,11.0,7.0,311.0,69.0,238.0,4.0,Non-New York City
12786,Otsego,Otsego County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
12813,Otsego,Otsego County Sheriff,2013,12.0,98.0,22.0,1.0,0.0,3.0,18.0,76.0,37.0,33.0,6.0,Non-New York City
12843,Otsego,Otsego County State Police,2013,12.0,369.0,21.0,0.0,8.0,1.0,12.0,348.0,67.0,277.0,4.0,Non-New York City
12870,Otsego,SUNY Police - Oneonta,2013,12.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,0.0,Non-New York City
12887,Putnam,Brewster Vg PD,2013,12.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,10.0,0.0,Non-New York City
12917,Putnam,Carmel Town PD,2013,12.0,208.0,10.0,0.0,2.0,0.0,8.0,198.0,31.0,158.0,9.0,Non-New York City
12968,Putnam,County Total,2013,,772.0,49.0,0.0,12.0,8.0,29.0,723.0,131.0,565.0,27.0,Non-New York City
12998,Putnam,Kent Town PD,2013,12.0,99.0,1.0,0.0,1.0,0.0,0.0,98.0,22.0,71.0,5.0,Non-New York City
13026,Putnam,Putnam County MTA,2013,12.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,Non-New York City
13084,Putnam,Putnam County Sheriff,2013,12.0,341.0,30.0,0.0,8.0,5.0,17.0,311.0,57.0,247.0,7.0,Non-New York City
13114,Putnam,Putnam County State Police,2013,12.0,98.0,8.0,0.0,1.0,3.0,4.0,90.0,18.0,66.0,6.0,Non-New York City
13152,Queens,County Total,2013,12.0,39913.0,10740.0,59.0,254.0,3994.0,6433.0,29173.0,4732.0,22030.0,2411.0,New York City
13217,Rensselaer,County Total,2013,,4137.0,471.0,3.0,24.0,159.0,285.0,3666.0,917.0,2615.0,134.0,Non-New York City
13247,Rensselaer,East Greenbush Town PD,2013,12.0,385.0,12.0,0.0,0.0,4.0,8.0,373.0,36.0,330.0,7.0,Non-New York City
13277,Rensselaer,Hoosick Falls Vg PD,2013,12.0,48.0,9.0,0.0,1.0,1.0,7.0,39.0,10.0,27.0,2.0,Non-New York City
13307,Rensselaer,Nassau Vg PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,0.0,Non-New York City
13337,Rensselaer,North Greenbush Town PD,2013,12.0,239.0,8.0,0.0,0.0,2.0,6.0,231.0,32.0,197.0,2.0,Non-New York City
13367,Rensselaer,Rensselaer City PD,2013,12.0,178.0,19.0,0.0,4.0,3.0,12.0,159.0,44.0,108.0,7.0,Non-New York City
13403,Rensselaer,Rensselaer County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,Non-New York City
13433,Rensselaer,Rensselaer County Sheriff,2013,12.0,235.0,24.0,0.0,0.0,3.0,21.0,211.0,59.0,146.0,6.0,Non-New York City
13463,Rensselaer,Rensselaer County State Police,2013,12.0,500.0,22.0,2.0,3.0,0.0,17.0,478.0,113.0,344.0,21.0,Non-New York City
13493,Rensselaer,Rensselaer Poly Tech Police,2013,12.0,78.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78.0,0.0,Non-New York City
13523,Rensselaer,Schodack Town PD,2013,12.0,101.0,4.0,0.0,0.0,1.0,3.0,97.0,25.0,70.0,2.0,Non-New York City
13553,Rensselaer,Troy City PD,2013,12.0,2358.0,373.0,1.0,16.0,145.0,211.0,1985.0,593.0,1305.0,87.0,Non-New York City
13583,Richmond,County Total,2013,12.0,7234.0,1658.0,7.0,32.0,526.0,1093.0,5576.0,669.0,4681.0,226.0,New York City
13613,Rockland,Clarkstown Town PD,2013,12.0,1585.0,65.0,0.0,8.0,17.0,40.0,1520.0,99.0,1392.0,29.0,Non-New York City
13643,Rockland,County Total,2013,,3807.0,395.0,4.0,28.0,94.0,269.0,3412.0,408.0,2911.0,93.0,Non-New York City
13673,Rockland,Haverstraw Town PD,2013,12.0,404.0,64.0,0.0,3.0,16.0,45.0,340.0,83.0,244.0,13.0,Non-New York City
13721,Rockland,Orangetown Town PD,2013,12.0,354.0,37.0,0.0,1.0,13.0,23.0,317.0,41.0,262.0,14.0,Non-New York City
13749,Rockland,Piermont Vg PD,2013,12.0,20.0,1.0,0.0,1.0,0.0,0.0,19.0,6.0,13.0,0.0,Non-New York City
13779,Rockland,Ramapo Town PD,2013,12.0,628.0,57.0,2.0,5.0,9.0,41.0,571.0,89.0,469.0,13.0,Non-New York City
13809,Rockland,Rockland County MTA,2013,12.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,Non-New York City
13837,Rockland,Rockland County Park PD,2013,12.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,16.0,0.0,Non-New York City
13867,Rockland,Rockland County Sheriff,2013,12.0,23.0,4.0,0.0,0.0,0.0,4.0,19.0,0.0,19.0,0.0,Non-New York City
13897,Rockland,Rockland County State Police,2013,12.0,24.0,9.0,0.0,1.0,2.0,6.0,15.0,2.0,13.0,0.0,Non-New York City
13927,Rockland,South Nyack-Grand View PD,2013,12.0,18.0,3.0,0.0,0.0,1.0,2.0,15.0,4.0,11.0,0.0,Non-New York City
13957,Rockland,Spring Valley Vg PD,2013,12.0,541.0,134.0,2.0,9.0,34.0,89.0,407.0,53.0,337.0,17.0,Non-New York City
13987,Rockland,Stony Point Town PD,2013,12.0,119.0,12.0,0.0,0.0,1.0,11.0,107.0,18.0,83.0,6.0,Non-New York City
14017,Rockland,Suffern Vg PD,2013,12.0,69.0,9.0,0.0,0.0,1.0,8.0,60.0,11.0,48.0,1.0,Non-New York City
14047,Saratoga,Ballston Spa Vg PD,2013,12.0,102.0,8.0,0.0,0.0,3.0,5.0,94.0,16.0,78.0,0.0,Non-New York City
14095,Saratoga,County Total,2013,,3115.0,173.0,1.0,21.0,35.0,116.0,2942.0,494.0,2385.0,63.0,Non-New York City
14125,Saratoga,Mechanicville City PD,2013,12.0,123.0,8.0,0.0,0.0,3.0,5.0,115.0,21.0,89.0,5.0,Non-New York City
14163,Saratoga,Saratoga County Park PD,2013,12.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,36.0,1.0,Non-New York City
14193,Saratoga,Saratoga County Sheriff,2013,12.0,1244.0,59.0,0.0,4.0,8.0,47.0,1185.0,243.0,906.0,36.0,Non-New York City
14223,Saratoga,Saratoga County State Police,2013,12.0,723.0,53.0,0.0,13.0,12.0,28.0,670.0,101.0,561.0,8.0,Non-New York City
14253,Saratoga,Saratoga Springs City PD,2013,12.0,675.0,33.0,1.0,3.0,8.0,21.0,642.0,84.0,550.0,8.0,Non-New York City
14283,Saratoga,South Glens Falls Vg PD,2013,12.0,121.0,7.0,0.0,1.0,1.0,5.0,114.0,17.0,95.0,2.0,Non-New York City
14313,Saratoga,Stillwater Town PD,2013,12.0,25.0,1.0,0.0,0.0,0.0,1.0,24.0,4.0,18.0,2.0,Non-New York City
14343,Saratoga,Waterford Town and Vg PD,2013,12.0,63.0,4.0,0.0,0.0,0.0,4.0,59.0,6.0,52.0,1.0,Non-New York City
14373,Schenectady,County Total,2013,,5378.0,675.0,11.0,36.0,229.0,399.0,4703.0,1007.0,3500.0,196.0,Non-New York City
14403,Schenectady,Glenville Town PD,2013,12.0,506.0,13.0,0.0,0.0,2.0,11.0,493.0,57.0,426.0,10.0,Non-New York City
14433,Schenectady,Niskayuna Town PD,2013,12.0,354.0,13.0,0.0,1.0,5.0,7.0,341.0,51.0,282.0,8.0,Non-New York City
14463,Schenectady,Rotterdam Town PD,2013,12.0,862.0,33.0,2.0,4.0,16.0,11.0,829.0,109.0,700.0,20.0,Non-New York City
14493,Schenectady,Schenectady City PD,2013,12.0,3410.0,608.0,8.0,31.0,205.0,364.0,2802.0,770.0,1878.0,154.0,Non-New York City
14540,Schenectady,Schenectady County Sheriff,2013,12.0,6.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,Non-New York City
14570,Schenectady,Schenectady County State Police,2013,12.0,109.0,2.0,0.0,0.0,0.0,2.0,107.0,6.0,97.0,4.0,Non-New York City
14600,Schenectady,Scotia Vg PD,2013,12.0,131.0,5.0,1.0,0.0,1.0,3.0,126.0,14.0,112.0,0.0,Non-New York City
14630,Schoharie,Cobleskill Vg PD,2013,12.0,223.0,5.0,0.0,0.0,3.0,2.0,218.0,14.0,204.0,0.0,Non-New York City
14660,Schoharie,County Total,2013,,536.0,27.0,0.0,8.0,5.0,14.0,509.0,117.0,383.0,9.0,Non-New York City
14704,Schoharie,Schoharie County Sheriff,2013,12.0,75.0,4.0,0.0,0.0,0.0,4.0,71.0,24.0,45.0,2.0,Non-New York City
14734,Schoharie,Schoharie County State Police,2013,12.0,184.0,14.0,0.0,7.0,1.0,6.0,170.0,70.0,95.0,5.0,Non-New York City
14792,Schoharie,SUNY Police - Cobleskill,2013,12.0,54.0,4.0,0.0,1.0,1.0,2.0,50.0,9.0,39.0,2.0,Non-New York City
14822,Schuyler,County Total,2013,,165.0,14.0,0.0,0.0,1.0,13.0,151.0,33.0,111.0,7.0,Non-New York City
14852,Schuyler,Schuyler County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,Non-New York City
14881,Schuyler,Schuyler County Sheriff,2013,12.0,33.0,7.0,0.0,0.0,1.0,6.0,26.0,14.0,10.0,2.0,Non-New York City
14911,Schuyler,Schuyler County State Police,2013,12.0,28.0,1.0,0.0,0.0,0.0,1.0,27.0,9.0,16.0,2.0,Non-New York City
14941,Schuyler,Watkins Glen Vg PD,2013,12.0,99.0,6.0,0.0,0.0,0.0,6.0,93.0,10.0,81.0,2.0,Non-New York City
14971,Seneca,County Total,2013,,794.0,62.0,2.0,8.0,5.0,47.0,732.0,123.0,599.0,10.0,Non-New York City
14986,Seneca,Interlaken Vg PD,2013,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
15024,Seneca,Seneca County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,Non-New York City
15054,Seneca,Seneca County Sheriff,2013,12.0,92.0,5.0,1.0,1.0,0.0,3.0,87.0,10.0,74.0,3.0,Non-New York City
15084,Seneca,Seneca County State Police,2013,12.0,181.0,33.0,1.0,6.0,1.0,25.0,148.0,42.0,106.0,0.0,Non-New York City
15097,Seneca,Seneca Falls Town PD,2013,12.0,305.0,12.0,0.0,0.0,1.0,11.0,293.0,48.0,240.0,5.0,Non-New York City
15149,Seneca,Waterloo Vg PD,2013,12.0,208.0,12.0,0.0,1.0,3.0,8.0,196.0,23.0,171.0,2.0,Non-New York City
15179,St Lawrence,Canton Vg PD,2013,12.0,97.0,3.0,0.0,0.0,1.0,2.0,94.0,11.0,82.0,1.0,Non-New York City
15209,St Lawrence,County Total,2013,,1965.0,112.0,1.0,10.0,12.0,89.0,1853.0,345.0,1470.0,38.0,Non-New York City
15263,St Lawrence,Massena Vg PD,2013,12.0,432.0,22.0,0.0,2.0,2.0,18.0,410.0,52.0,358.0,0.0,Non-New York City
15288,St Lawrence,Norfolk Town PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,Non-New York City
15339,St Lawrence,Ogdensburg City PD,2013,12.0,420.0,23.0,0.0,1.0,5.0,17.0,397.0,72.0,321.0,4.0,Non-New York City
15369,St Lawrence,Potsdam Vg PD,2013,12.0,198.0,8.0,0.0,1.0,0.0,7.0,190.0,17.0,168.0,5.0,Non-New York City
15409,St Lawrence,St Lawrence County Park PD,2013,12.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,Non-New York City
15438,St Lawrence,St Lawrence County Sheriff,2013,12.0,52.0,11.0,0.0,0.0,0.0,11.0,41.0,8.0,33.0,0.0,Non-New York City
15468,St Lawrence,St Lawrence County State Police,2013,12.0,637.0,41.0,1.0,3.0,3.0,34.0,596.0,174.0,397.0,25.0,Non-New York City
15517,St Lawrence,SUNY Police - Canton,2013,12.0,60.0,2.0,0.0,1.0,1.0,0.0,58.0,5.0,53.0,0.0,Non-New York City
15529,St Lawrence,SUNY Police - Potsdam,2013,12.0,57.0,2.0,0.0,2.0,0.0,0.0,55.0,3.0,50.0,2.0,Non-New York City
15559,Steuben,Addison Vg PD,2013,12.0,27.0,3.0,0.0,0.0,0.0,3.0,24.0,3.0,20.0,1.0,Non-New York City
15595,Steuben,Bath Vg PD,2013,12.0,206.0,15.0,0.0,1.0,3.0,11.0,191.0,32.0,157.0,2.0,Non-New York City
