County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft
Albany,2015,8644.0,1041.0,6.0,95.0,289.0,651.0,7603.0,940.0,6442.0,221.0
Allegany,2015,579.0,57.0,0.0,28.0,0.0,29.0,522.0,95.0,412.0,15.0
Bronx,2015,36299.0,13409.0,91.0,556.0,4386.0,8376.0,22890.0,2530.0,18767.0,1593.0
Broome,2015,6459.0,623.0,7.0,154.0,148.0,314.0,5836.0,932.0,4791.0,113.0
Cattaraugus,2015,1298.0,125.0,1.0,53.0,9.0,62.0,1173.0,214.0,925.0,34.0
Cayuga,2015,1553.0,196.0,0.0,67.0,14.0,115.0,1357.0,224.0,1099.0,34.0
Chautauqua,2015,3310.0,354.0,3.0,73.0,78.0,200.0,2956.0,644.0,2214.0,98.0
Chemung,2015,1903.0,159.0,2.0,27.0,42.0,88.0,1744.0,275.0,1429.0,40.0
Chenango,2015,849.0,101.0,0.0,65.0,1.0,35.0,748.0,141.0,583.0,24.0
Clinton,2015,1251.0,115.0,0.0,59.0,6.0,50.0,1136.0,172.0,940.0,24.0
Columbia,2015,895.0,103.0,3.0,40.0,9.0,51.0,792.0,161.0,617.0,14.0
Cortland,2015,751.0,51.0,2.0,16.0,8.0,25.0,700.0,141.0,549.0,10.0
Delaware,2015,741.0,80.0,0.0,46.0,6.0,28.0,661.0,154.0,493.0,14.0
Dutchess,2015,4518.0,558.0,4.0,108.0,118.0,328.0,3960.0,505.0,3344.0,111.0
Erie,2015,26091.0,3788.0,46.0,296.0,1302.0,2144.0,22303.0,4306.0,16695.0,1302.0
Essex,2015,382.0,46.0,0.0,25.0,2.0,19.0,336.0,97.0,227.0,12.0
Franklin,2015,841.0,88.0,0.0,53.0,5.0,30.0,753.0,148.0,591.0,14.0
Fulton,2015,1309.0,123.0,0.0,42.0,10.0,71.0,1186.0,199.0,961.0,26.0
Genesee,2015,1199.0,115.0,2.0,37.0,15.0,61.0,1084.0,168.0,879.0,37.0
Greene,2015,606.0,117.0,0.0,32.0,4.0,81.0,489.0,124.0,355.0,10.0
Hamilton,2015,43.0,3.0,0.0,3.0,0.0,0.0,40.0,16.0,23.0,1.0
Herkimer,2015,1021.0,98.0,1.0,24.0,3.0,70.0,923.0,156.0,735.0,32.0
Jefferson,2015,2543.0,221.0,3.0,82.0,17.0,119.0,2322.0,399.0,1873.0,50.0
Kings,2015,53957.0,16385.0,146.0,659.0,5686.0,9894.0,37572.0,5077.0,30015.0,2480.0
Lewis,2015,282.0,27.0,0.0,9.0,1.0,17.0,255.0,91.0,158.0,6.0
Livingston,2015,885.0,77.0,0.0,35.0,7.0,35.0,808.0,129.0,652.0,27.0
Madison,2015,1010.0,106.0,1.0,51.0,12.0,42.0,904.0,154.0,729.0,21.0
Monroe,2015,20529.0,2526.0,39.0,289.0,831.0,1367.0,18003.0,3149.0,13787.0,1067.0
Montgomery,2015,1265.0,99.0,0.0,36.0,13.0,50.0,1166.0,212.0,920.0,34.0
Nassau,2015,16358.0,1984.0,21.0,80.0,832.0,1051.0,14374.0,1709.0,11981.0,684.0
New York,2015,47307.0,8789.0,41.0,467.0,3148.0,5133.0,38518.0,2538.0,35156.0,824.0
Niagara,2015,5921.0,779.0,5.0,80.0,206.0,488.0,5142.0,1091.0,3838.0,213.0
Oneida,2015,5456.0,585.0,8.0,141.0,110.0,326.0,4871.0,883.0,3817.0,171.0
Onondaga,2015,11574.0,1500.0,24.0,149.0,432.0,895.0,10074.0,1850.0,7785.0,439.0
Ontario,2015,1835.0,144.0,1.0,54.0,23.0,66.0,1691.0,352.0,1314.0,25.0
Orange,2015,7244.0,918.0,6.0,144.0,218.0,550.0,6326.0,862.0,5280.0,184.0
Orleans,2015,673.0,69.0,0.0,21.0,3.0,45.0,604.0,143.0,442.0,19.0
Oswego,2015,2374.0,251.0,2.0,126.0,26.0,97.0,2123.0,507.0,1565.0,51.0
Otsego,2015,841.0,78.0,2.0,42.0,6.0,28.0,763.0,141.0,600.0,22.0
Putnam,2015,589.0,43.0,0.0,12.0,3.0,28.0,546.0,89.0,430.0,27.0
Queens,2015,35920.0,9854.0,60.0,468.0,3270.0,6056.0,26066.0,3396.0,20400.0,2270.0
Rensselaer,2015,4200.0,547.0,10.0,56.0,175.0,306.0,3653.0,677.0,2824.0,152.0
Richmond,2015,6465.0,1651.0,14.0,94.0,456.0,1087.0,4814.0,557.0,4038.0,219.0
Rockland,2015,3764.0,483.0,4.0,62.0,123.0,294.0,3281.0,291.0,2895.0,95.0
Saratoga,2015,2850.0,259.0,0.0,81.0,24.0,154.0,2591.0,360.0,2173.0,58.0
Schenectady,2015,4623.0,668.0,10.0,78.0,176.0,404.0,3955.0,623.0,3167.0,165.0
Schoharie,2015,402.0,38.0,1.0,20.0,0.0,17.0,364.0,63.0,289.0,12.0
Schuyler,2015,149.0,14.0,0.0,9.0,2.0,3.0,135.0,20.0,114.0,1.0
Seneca,2015,730.0,62.0,0.0,17.0,6.0,39.0,668.0,108.0,539.0,21.0
St Lawrence,2015,1671.0,143.0,2.0,53.0,14.0,74.0,1528.0,279.0,1220.0,29.0
Steuben,2015,1585.0,189.0,1.0,79.0,12.0,97.0,1396.0,205.0,1160.0,31.0
Suffolk,2015,24496.0,2010.0,25.0,167.0,732.0,1086.0,22486.0,2591.0,18650.0,1245.0
Sullivan,2015,1331.0,171.0,1.0,64.0,15.0,91.0,1160.0,333.0,806.0,21.0
Tioga,2015,460.0,54.0,1.0,23.0,6.0,24.0,406.0,82.0,305.0,19.0
Tompkins,2015,2296.0,147.0,0.0,55.0,32.0,60.0,2149.0,324.0,1788.0,37.0
Ulster,2015,3011.0,304.0,0.0,96.0,41.0,167.0,2707.0,421.0,2214.0,72.0
Warren,2015,1090.0,108.0,1.0,51.0,11.0,45.0,982.0,121.0,845.0,16.0
Washington,2015,614.0,91.0,1.0,28.0,1.0,61.0,523.0,95.0,414.0,14.0
Wayne,2015,1644.0,203.0,2.0,79.0,24.0,98.0,1441.0,353.0,1040.0,48.0
Westchester,2015,12239.0,2148.0,17.0,171.0,739.0,1221.0,10091.0,1307.0,8102.0,682.0
Wyoming,2015,422.0,58.0,3.0,16.0,0.0,39.0,364.0,60.0,294.0,10.0
Yates,2015,299.0,25.0,0.0,8.0,0.0,17.0,274.0,84.0,188.0,2.0
